1,"Nimmst du gerade etwas wahr, das dir sonst nicht auffallen würde?"
2,Für welche Begegnung bist du heute dankbar?
3,Wem könntest du heute innerlich Gutes wünschen?
4,"Nimmst du in diesem Moment einen bestimmten Geruch wahr, oder vielleicht auch keinen?"
5,Welche Fähigkeit oder Stärke in dir erfüllt dich mit Dankbarkeit?
6,Wie könntest du die Welt heute ein kleines Stück freundlicher machen?
7,Nimmst du heute etwas in der Natur bewusst wahr?
8,An welche Geste der Freundlichkeit erinnerst du dich besonders gern?
9,"Spürst du eine Veränderung, wenn du einen Moment lang still wirst?"
10,"Gibt es etwas in deiner Vergangenheit, für das du heute dankbar bist?"
11,"Könntest du dir vorstellen, heute jemandem Mut zu machen, und wenn ja, wie?"
12,"Gibt es einen Gedanken, der heute besondere Beachtung verdient?"
13,An welches Lächeln erinnerst du dich gerne zurück?
14,"Spürst du eine Empfindung, die dich gerade überrascht?"
15,"Gibt es eine scheinbare Selbstverständlichkeit, für die du heute dankbar bist?"
16,"Was bedeutet es für dich, mit dir selbst nachsichtig zu sein?"
17,Gibt es Formen oder Farben in der Natur die dich gerade faszinieren?
18,Wie könntest du dir selbst heute mit Güte begegnen?
19,An welchen Augenblick auf deinem bisherigen Weg denkst du mit Dankbarkeit zurück?
20,"Fällt dir jemand ein, dem du jetzt gerne Danke sagen würdest?"
21,"Verändert sich dein Erleben, wenn du langsamer gehst, und wenn ja, wie?"
