Zitat,Zitatgeber
Das Glück deines Lebens hängt von der Beschaffenheit deiner Gedanken ab.,Marc Aurel
Der Weg zu allem Großen geht durch die Stille.,Friedrich Nietzsche
Es gibt nur eine wichtige Zeit: Heute. Hier. Jetzt.,Leo Tolstoi
"Es ist nicht wichtig, was Du betrachtest, sondern was Du siehst.",Henry David Thoreau
"Dein Geist gleicht einer Mauer, an der wechselnde Wolken vorüberziehen.",Hildegard von Bingen
"Die Einfachheit des Seins liegt darin, das Leben in seiner ganzen Vielfalt zu umarmen und dennoch alles Überflüssige loszulassen.",Anselm Grün
Blicke über deine Gedanken hinaus und trinke den reinen Nektar dieses Augenblicks.,Rumi
"Der hat am besten für die Zukunft gesorgt, der für die Gegenwart sorgt.",Franz Kafka
Die Natur muss gefühlt werden.,Alexander von Humboldt
"Die Gegenwart allein ist das, was immer da ist und unverrückbar feststeht.",Arthur Schopenhauer
Die Herrschaft über den Augenblick ist die Herrschaft über das Leben.,Marie von Ebner-Eschenbach
"Es gibt überall Blumen für den, der sie sehen will.",Henri Matisse
"Werde wieder wie ein staunendes Kind, das die Welt entdeckt. Jeden Augenblick neu.",Weisheit aus Tibet
"Das Höchste über allem, was je im Himmel ward, ist das Staunen.",Mechthild von Magdeburg
"Nur der Tag bricht an, für den wir wach sind.",Henry David Thoreau
"Die Liebe beginnt da, wo das Denken aufhört.",Meister Eckhart
"Monde und Jahre vergehen, aber ein schöner Moment leuchtet das Leben hindurch.",Franz Grillparzer
"Das Universum ist nicht außerhalb von dir. Schaue in dich hinein; alles, was du willst, bist du bereits.",Rumi
"Wer werden will, was er sein sollte, der muss lassen, was er jetzt ist.",Meister Eckhart
"Wie töricht ist es, Pläne für das ganze Leben zu machen, da wir doch nicht einmal Herren des morgigen Tages sind.",Seneca
"Wie selten sind doch die Menschen, die das, was sie tun, ganz tun.",Theresia von Avila
"Suche das Licht nicht im Außen, finde das Licht in dir und lass es aus deinem Herzen strahlen.",Rumi
"Strebe nach Ruhe, aber durch das Gleichgewicht, nicht durch den Stillstand deiner Tätigkeit.",Friedrich von Schiller
"Glück entsteht oft durch Aufmerksamkeit in kleinen Dingen, Unglück oft durch Vernachlässigung kleiner Dinge.",Wilhelm Busch
"Die Vergangenheit ist bereits vorbei, die Zukunft ist noch nicht gekommen. Es gibt nur diesen Moment, den du lebst.",Buddha
Aufmerksamkeit ist das Leben!,Johann Wolfgang von Goethe
Es gibt nur zwei Tage im Jahr an denen man nichts tun kann. Gestern und morgen!,Dalai Lama
"Wer sich auf den Weg macht, macht sich auf zu sich selbst.",Teresa von Ávila
Die Seele lernt von den Blumen Stille und Geduld.,Meister Eckhart
"Nicht die Glücklichen sind dankbar. Es sind die Dankbaren, die glücklich sind.",Francis Bacon
"Freundlichkeit ist eine Sprache, die Taube hören und Blinde sehen können.",Mark Twain
"Du kannst die Wellen nicht aufhalten, aber du kannst lernen, auf ihnen zu surfen.",Jon Kabat-Zinn
"Es gibt in der Welt einen einzigen Weg, auf welchem niemand gehen kann, außer dir: wohin er führt? Frage nicht, gehe ihn.",Friedrich Nietzsche
"Genaugenommen leben sehr wenige Menschen in der Gegenwart, die meisten bereiten sich gerade vor, demnächst zu leben.",Jonathan Swift
"Wenn wir uns von unseren Träumen leiten lassen, wird der Erfolg all unsere Erwartungen übertreffen.",Henry David Thoreau
